sku,title,url
1513372918,Caixa De Som Amplif Bootes Bda-1515B  Af 15 Pol+Dti 420W Mus.,https://www.extra.com.br/caixa-de-som-amplif-bootes-bda-1515b-af-15-pol-dti-420w-mus/p/1513372918
1513065735,Water Cooler - H150I Pro Xt - Rgb Icue - 360Mm - Cw-9060045-Ww,https://www.extra.com.br/water-cooler-h150i-pro-xt-rgb-icue-360mm-cw-9060045-ww/p/1513065735
1500418549,"Smart TV LED Full HD Android 43"" TCL Bluetooth Controle Remoto com Comando de Voz HDR 2 HDMI 1 USB 43S6500",https://www.extra.com.br/smart-tv-led-full-hd-android-43-quot-tcl-bluetooth-controle-remoto-com-comando-de-voz-hdr-2-hdmi-1-usb-43s6500/p/1500418549
1509779467,Smart Tv Philco 40 Polegadas Full HD Android PTV40G71AGBL,https://www.extra.com.br/smart-tv-philco-40-polegadas-full-hd-android-ptv40g71agbl/p/1509779467
1508787365,Smart TV 58 Pol 4K Samsung TU7020 Crystal UHD Wifi 2 HDMI Bluetooth Borda Ultrafina,https://www.extra.com.br/smart-tv-58-pol-4k-samsung-tu7020-crystal-uhd-wifi-2-hdmi-bluetooth-borda-ultrafina/p/1508787365
1513489695,"Smart TV Samsung 65"" Neo QLED 4K 65QN90A Design Slim Mini Led Processador IA Som em Movimento Plus",https://www.extra.com.br/smart-tv-samsung-65-quot-neo-qled-4k-65qn90a-design-slim-mini-led-processador-ia-som-em-movimento-plus/p/1513489695
1514227855,Luminaria Led Publica Lutece Luminaria Led Ltc090-B5-102 90W 12.240Lm 5000K 50.000H 220V Fotocelula,https://www.extra.com.br/luminaria-led-publica-lutece-luminaria-led-ltc090-b5-102-90w-12240lm-5000k-50000h-220v-fotocelula/p/1514227855
1513368975,Combiner Box Combiner Box Cfb-6E-6S-1100Dc Quadro 6 Entradas 6 Saidas 1100V (2 Mppt),https://www.extra.com.br/combiner-box-combiner-box-cfb-6e-6s-1100dc-quadro-6-entradas-6-saidas-1100v-2-mppt/p/1513368975
1513066841,Gabinete Atx Mid Tower - 4000 Series - 4000D White - Cc-9011199-Ww,https://www.extra.com.br/gabinete-atx-mid-tower-4000-series-4000d-white-cc-9011199-ww/p/1513066841
1513066817,Gabinete Atx Mid Tower - Carbide Series 275R Airflow Black - Cc-9011181-Ww,https://www.extra.com.br/gabinete-atx-mid-tower-carbide-series-275r-airflow-black-cc-9011181-ww/p/1513066817
1513066813,Fonte Atx 650W - Cx650F Full Modular - Rgb Black - 80 Plus Bronze - Com Cabo De Forca - Cp-9020217-Br,https://www.extra.com.br/fonte-atx-650w-cx650f-full-modular-rgb-black-80-plus-bronze-com-cabo-de-forca-cp-9020217-br/p/1513066813
1513066812,Fonte Atx 750W - Cx750F Full Modular - Rgb Black - 80 Plus Bronze - Com Cabo De Forca - Cp-9020218-Br,https://www.extra.com.br/fonte-atx-750w-cx750f-full-modular-rgb-black-80-plus-bronze-com-cabo-de-forca-cp-9020218-br/p/1513066812
1516680427,"Smart TV LG 75"" 75NO90S 4K IPS NanoCell BT Intelig̻ncia Artificial ThinQAI Google Alexa IOT Preta",https://www.extra.com.br/smart-tv-lg-75-quot-75no90s-4k-ips-nanocell-bt-inteligancia-artificial-thinqai-google-alexa-iot-preta/p/1516680427
1513074029,Gabinete Masterbox Nr600 - Mcb-Nr600-Kgnn-S00,https://www.extra.com.br/gabinete-masterbox-nr600-mcb-nr600-kgnn-s00/p/1513074029
1513371534,Esteira Eletr Concep 130Kg Motor 2.5Hp Dream - 7299,https://www.extra.com.br/esteira-eletr-concep-130kg-motor-25hp-dream-7299/p/1513371534
1513413941,Micro-Ondas 32L Consul  - Cms45Abana,https://www.extra.com.br/micro-ondas-32l-consul-cms45abana/p/1513413941
1513433592, Smart TV AOC 32 Polegadas Roku TV LED 32S5195/78 com Wifi Integrado Roku Mobile Netflix Entradas HDMI e USB,https://www.extra.com.br/smart-tv-aoc-32-polegadas-roku-tv-led-32s5195-78-com-wifi-integrado-roku-mobile-netflix-entradas-hdmi-e-usb/p/1513433592
1513550847,"Smart Tv Aoc Roku Led 32`` 32s5195/78 com Wi-Fi, Controle Remoto com Atalhos, Roku Mobile, Miracast, Entradas Hdmi e Usb ",https://www.extra.com.br/smart-tv-aoc-roku-led-32-32s5195-78-com-wi-fi-controle-remoto-com-atalhos-roku-mobile-miracast-entradas-hdmi-e-usb/p/1513550847
